time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-17 00:00:00+00:00,,,2.0,1.0
2024-01-18 00:00:00+00:00,5.0,3.0,7.0,1.0
2024-01-19 00:00:00+00:00,2.0,1.0,89.0,1.0
2024-01-20 00:00:00+00:00,13.0,8.0,69.0,1.0
2024-01-21 00:00:00+00:00,1.0,1.0,,
2024-01-22 00:00:00+00:00,1.0,1.0,19.0,1.0
2024-01-23 00:00:00+00:00,1.0,1.0,,
2024-01-25 00:00:00+00:00,1.0,1.0,32.0,2.0
2024-01-26 00:00:00+00:00,1.0,1.0,,
2024-01-27 00:00:00+00:00,1.0,1.0,,
2024-01-28 00:00:00+00:00,1.0,1.0,16.0,1.0
2024-01-29 00:00:00+00:00,1.0,1.0,,
2024-01-30 00:00:00+00:00,,,5.0,1.0
