time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-14 00:00:00+00:00,2,2,0,0
2023-02-16 00:00:00+00:00,1,1,5,2
2023-02-17 00:00:00+00:00,1,1,8,1
2023-02-18 00:00:00+00:00,11,6,30,2
2023-02-19 00:00:00+00:00,7,3,12,1
2023-02-20 00:00:00+00:00,1,1,46,1
2023-02-21 00:00:00+00:00,3,3,11,2
2023-02-22 00:00:00+00:00,5,5,0,0
2023-02-23 00:00:00+00:00,3,2,26,2
2023-02-24 00:00:00+00:00,2,2,15,1
2023-02-25 00:00:00+00:00,1,1,14,1
2023-02-27 00:00:00+00:00,7,4,5,1
2023-02-28 00:00:00+00:00,0,0,1,1
2023-03-01 00:00:00+00:00,1,1,7,1
2023-03-02 00:00:00+00:00,6,5,22,1
2023-03-04 00:00:00+00:00,0,0,9,1
2023-03-06 00:00:00+00:00,1,1,0,0
2023-03-08 00:00:00+00:00,0,0,17,1
2023-03-09 00:00:00+00:00,0,0,23,4
2023-03-10 00:00:00+00:00,1,1,35,3
2023-03-11 00:00:00+00:00,2,2,115,1
2023-03-12 00:00:00+00:00,1,1,15,2
2023-03-13 00:00:00+00:00,11,5,15,3
2023-03-15 00:00:00+00:00,0,0,2,1
2023-03-16 00:00:00+00:00,1,1,65,2
2023-03-17 00:00:00+00:00,0,0,12,1
2023-03-18 00:00:00+00:00,1,1,1,1
2023-03-20 00:00:00+00:00,22,8,32,2
2023-03-21 00:00:00+00:00,4,3,16,1
2023-03-22 00:00:00+00:00,13,5,0,0
2023-03-23 00:00:00+00:00,9,4,4,1
2023-03-24 00:00:00+00:00,3,2,6,1
2023-03-25 00:00:00+00:00,6,4,14,1
2023-03-26 00:00:00+00:00,12,5,9,1
2023-03-27 00:00:00+00:00,32,10,81,3
