time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-09 00:00:00+00:00,38,14,0,0
2026-03-10 00:00:00+00:00,37,11,0,0
2026-03-11 00:00:00+00:00,25,8,1,1
2026-03-12 00:00:00+00:00,32,12,0,0
2026-03-13 00:00:00+00:00,36,14,0,0
2026-03-14 00:00:00+00:00,32,13,0,0
2026-03-15 00:00:00+00:00,29,11,0,0
2026-03-16 00:00:00+00:00,41,17,0,0
2026-03-17 00:00:00+00:00,38,17,7,3
2026-03-18 00:00:00+00:00,43,18,0,0
2026-03-19 00:00:00+00:00,34,13,1,1
2026-03-20 00:00:00+00:00,26,9,1,1
2026-03-21 00:00:00+00:00,32,14,0,0
2026-03-22 00:00:00+00:00,27,9,0,0
