time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-13 00:00:00+00:00,4,2,0,0
2023-02-14 00:00:00+00:00,9,5,2,2
2023-02-15 00:00:00+00:00,9,6,2,2
2023-02-16 00:00:00+00:00,16,6,10,3
2023-02-17 00:00:00+00:00,71,8,0,0
2023-02-18 00:00:00+00:00,13,4,0,0
2023-02-19 00:00:00+00:00,2,2,2,1
2023-02-20 00:00:00+00:00,14,8,2,2
2023-02-21 00:00:00+00:00,12,7,0,0
2023-02-22 00:00:00+00:00,8,4,3,1
2023-02-23 00:00:00+00:00,10,6,9,3
2023-02-24 00:00:00+00:00,12,5,0,0
2023-02-25 00:00:00+00:00,7,5,4,2
2023-02-26 00:00:00+00:00,5,3,1,1
2023-02-27 00:00:00+00:00,13,8,6,2
2023-02-28 00:00:00+00:00,3,2,1,1
2023-03-01 00:00:00+00:00,12,5,3,1
2023-03-02 00:00:00+00:00,12,7,0,0
2023-03-04 00:00:00+00:00,3,2,8,3
2023-03-05 00:00:00+00:00,4,1,1,1
2023-03-06 00:00:00+00:00,10,6,8,3
2023-03-07 00:00:00+00:00,4,2,17,1
2023-03-08 00:00:00+00:00,3,2,0,0
2023-03-09 00:00:00+00:00,7,3,0,0
2023-03-10 00:00:00+00:00,8,4,1,1
2023-03-11 00:00:00+00:00,2,2,0,0
2023-03-12 00:00:00+00:00,8,5,1,1
2023-03-13 00:00:00+00:00,20,9,5,2
2023-03-14 00:00:00+00:00,18,10,1,1
2023-03-15 00:00:00+00:00,11,7,2,2
2023-03-16 00:00:00+00:00,7,4,4,2
2023-03-17 00:00:00+00:00,4,3,0,0
2023-03-18 00:00:00+00:00,9,4,1,1
2023-03-19 00:00:00+00:00,18,5,0,0
2023-03-20 00:00:00+00:00,8,5,0,0
2023-03-21 00:00:00+00:00,2,1,0,0
2023-03-22 00:00:00+00:00,0,0,2,2
2023-03-23 00:00:00+00:00,10,5,6,2
2023-03-24 00:00:00+00:00,10,6,3,2
2023-03-25 00:00:00+00:00,1,1,0,0
2023-03-26 00:00:00+00:00,21,8,0,0
2023-03-27 00:00:00+00:00,18,8,5,2
2023-03-28 00:00:00+00:00,8,5,3,2
2023-03-29 00:00:00+00:00,2,1,2,1
2023-03-30 00:00:00+00:00,6,4,0,0
2023-03-31 00:00:00+00:00,3,2,0,0
2023-04-01 00:00:00+00:00,3,2,1,1
2023-04-02 00:00:00+00:00,2,1,3,1
2023-04-03 00:00:00+00:00,2,2,4,1
2023-04-04 00:00:00+00:00,9,5,0,0
2023-04-05 00:00:00+00:00,0,0,1,1
2023-04-06 00:00:00+00:00,5,4,5,1
2023-04-07 00:00:00+00:00,15,6,0,0
2023-04-08 00:00:00+00:00,15,7,8,3
2023-04-09 00:00:00+00:00,13,3,1,1
2023-04-10 00:00:00+00:00,5,3,1,1
2023-04-11 00:00:00+00:00,7,3,2,2
2023-04-12 00:00:00+00:00,8,5,0,0
2023-04-13 00:00:00+00:00,11,8,0,0
2023-04-14 00:00:00+00:00,6,3,0,0
2023-04-15 00:00:00+00:00,4,2,1,1
2023-04-16 00:00:00+00:00,7,5,1,1
2023-04-17 00:00:00+00:00,17,6,10,2
2023-04-18 00:00:00+00:00,7,4,4,2
2023-04-19 00:00:00+00:00,15,5,3,3
2023-04-20 00:00:00+00:00,12,4,3,2
2023-04-21 00:00:00+00:00,6,2,5,2
2023-04-22 00:00:00+00:00,8,3,6,2
2023-04-23 00:00:00+00:00,6,3,1,1
2023-04-24 00:00:00+00:00,22,6,15,3
2023-04-25 00:00:00+00:00,18,6,2,2
2023-04-26 00:00:00+00:00,7,4,1,1
2023-04-27 00:00:00+00:00,11,6,1,1
2023-04-28 00:00:00+00:00,8,4,2,2
2023-04-29 00:00:00+00:00,2,2,3,1
2023-04-30 00:00:00+00:00,2,1,0,0
2023-05-01 00:00:00+00:00,2,2,2,1
2023-05-02 00:00:00+00:00,16,5,0,0
2023-05-03 00:00:00+00:00,6,3,0,0
2023-05-04 00:00:00+00:00,13,5,0,0
2023-05-05 00:00:00+00:00,2,1,10,3
2023-05-06 00:00:00+00:00,0,0,2,2
2023-05-07 00:00:00+00:00,2,1,0,0
2023-05-08 00:00:00+00:00,8,2,1,1
2023-05-09 00:00:00+00:00,6,1,3,2
2023-05-10 00:00:00+00:00,9,6,0,0
2023-05-11 00:00:00+00:00,4,2,0,0
2023-05-12 00:00:00+00:00,10,3,0,0
2023-05-14 00:00:00+00:00,2,1,0,0
2023-05-15 00:00:00+00:00,2,1,0,0
2023-05-16 00:00:00+00:00,4,3,11,5
2023-05-17 00:00:00+00:00,7,5,1,1
2023-05-18 00:00:00+00:00,2,1,1,1
2023-05-19 00:00:00+00:00,13,5,1,1
2023-05-20 00:00:00+00:00,12,2,1,1
2023-05-21 00:00:00+00:00,5,3,3,1
2023-05-22 00:00:00+00:00,3,2,2,2
2023-05-23 00:00:00+00:00,4,2,0,0
2023-05-24 00:00:00+00:00,10,5,1,1
2023-05-25 00:00:00+00:00,2,1,4,4
2023-05-26 00:00:00+00:00,10,4,0,0
2023-05-27 00:00:00+00:00,15,6,9,1
2023-05-28 00:00:00+00:00,6,3,3,2
2023-05-29 00:00:00+00:00,7,3,1,1
2023-05-30 00:00:00+00:00,7,4,1,1
2023-05-31 00:00:00+00:00,20,8,5,3
2023-06-01 00:00:00+00:00,12,8,16,4
2023-06-02 00:00:00+00:00,9,4,1,1
2023-06-03 00:00:00+00:00,14,6,4,3
2023-06-04 00:00:00+00:00,0,0,1,1
2023-06-05 00:00:00+00:00,11,3,0,0
2023-06-06 00:00:00+00:00,2,2,2,2
2023-06-07 00:00:00+00:00,4,2,2,2
2023-06-08 00:00:00+00:00,3,2,2,2
2023-06-09 00:00:00+00:00,11,6,1,1
2023-06-10 00:00:00+00:00,17,8,6,3
2023-06-11 00:00:00+00:00,2,1,0,0
2023-06-12 00:00:00+00:00,36,20,66,1
2023-06-13 00:00:00+00:00,20,13,1,1
2023-06-14 00:00:00+00:00,11,11,11,1
2023-06-15 00:00:00+00:00,21,10,5,1
2023-06-16 00:00:00+00:00,12,9,1,1
2023-06-17 00:00:00+00:00,3,2,1,1
2023-06-18 00:00:00+00:00,3,2,4,2
2023-06-19 00:00:00+00:00,15,7,14,1
2023-06-20 00:00:00+00:00,13,7,6,4
2023-06-21 00:00:00+00:00,12,7,4,1
2023-06-22 00:00:00+00:00,17,8,0,0
2023-06-23 00:00:00+00:00,14,7,0,0
2023-06-24 00:00:00+00:00,7,5,1,1
2023-06-25 00:00:00+00:00,7,5,1,1
2023-06-26 00:00:00+00:00,14,7,1,1
2023-06-27 00:00:00+00:00,9,7,2,2
2023-06-28 00:00:00+00:00,19,7,1,1
2023-06-29 00:00:00+00:00,2,1,0,0
2023-06-30 00:00:00+00:00,4,1,0,0
2023-07-01 00:00:00+00:00,7,4,5,1
2023-07-02 00:00:00+00:00,6,3,1,1
2023-07-03 00:00:00+00:00,5,3,3,3
2023-07-04 00:00:00+00:00,9,4,13,4
2023-07-05 00:00:00+00:00,20,12,5,1
2023-07-06 00:00:00+00:00,19,5,13,1
2023-07-07 00:00:00+00:00,4,3,0,0
2023-07-08 00:00:00+00:00,8,5,9,2
2023-07-09 00:00:00+00:00,10,4,1,1
2023-07-10 00:00:00+00:00,17,9,1,1
2023-07-11 00:00:00+00:00,10,7,0,0
2023-07-12 00:00:00+00:00,14,7,2,2
2023-07-13 00:00:00+00:00,5,3,1,1
2023-07-14 00:00:00+00:00,7,4,3,1
2023-07-15 00:00:00+00:00,14,6,1,1
2023-07-16 00:00:00+00:00,2,2,0,0
2023-07-17 00:00:00+00:00,7,4,0,0
2023-07-18 00:00:00+00:00,2,2,11,2
2023-07-19 00:00:00+00:00,4,3,8,2
2023-07-20 00:00:00+00:00,8,4,1,1
2023-07-21 00:00:00+00:00,43,5,1,1
2023-07-22 00:00:00+00:00,10,5,0,0
2023-07-23 00:00:00+00:00,1,1,5,1
2023-07-24 00:00:00+00:00,12,3,0,0
2023-07-25 00:00:00+00:00,5,3,12,3
2023-07-26 00:00:00+00:00,15,4,0,0
2023-07-27 00:00:00+00:00,7,5,2,2
2023-07-28 00:00:00+00:00,8,3,2,2
2023-07-29 00:00:00+00:00,10,5,1,1
2023-07-30 00:00:00+00:00,10,4,1,1
2023-07-31 00:00:00+00:00,16,6,4,1
2023-08-01 00:00:00+00:00,13,4,13,1
2023-08-02 00:00:00+00:00,6,4,1,1
2023-08-03 00:00:00+00:00,4,1,1,1
2023-08-04 00:00:00+00:00,7,4,1,1
2023-08-05 00:00:00+00:00,12,3,5,1
2023-08-06 00:00:00+00:00,8,4,0,0
2023-08-07 00:00:00+00:00,14,7,4,2
2023-08-08 00:00:00+00:00,10,6,14,3
2023-08-09 00:00:00+00:00,16,9,8,3
2023-08-10 00:00:00+00:00,17,10,12,2
2023-08-11 00:00:00+00:00,14,6,9,2
2023-08-12 00:00:00+00:00,5,4,1,1
2023-08-13 00:00:00+00:00,12,4,9,2
2023-08-14 00:00:00+00:00,54,4,2,2
2023-08-15 00:00:00+00:00,44,9,10,5
2023-08-16 00:00:00+00:00,4,2,2,1
2023-08-17 00:00:00+00:00,15,7,3,3
2023-08-18 00:00:00+00:00,8,5,3,2
2023-08-19 00:00:00+00:00,7,3,3,1
2023-08-20 00:00:00+00:00,11,4,2,1
2023-08-21 00:00:00+00:00,33,5,2,2
2023-08-22 00:00:00+00:00,27,13,8,4
2023-08-23 00:00:00+00:00,18,13,1,1
2023-08-24 00:00:00+00:00,5,3,0,0
2023-08-25 00:00:00+00:00,29,7,1,1
2023-08-26 00:00:00+00:00,0,0,7,3
2023-08-27 00:00:00+00:00,3,2,0,0
2023-08-28 00:00:00+00:00,28,8,1,1
2023-08-29 00:00:00+00:00,18,9,6,5
2023-08-30 00:00:00+00:00,11,7,1,1
2023-08-31 00:00:00+00:00,12,7,0,0
2023-12-30 00:00:00+00:00,17,7,30,1
2023-12-31 00:00:00+00:00,10,4,4,4
2024-01-01 00:00:00+00:00,8,4,0,0
2024-01-02 00:00:00+00:00,31,11,0,0
2024-01-03 00:00:00+00:00,16,8,7,2
2024-01-04 00:00:00+00:00,23,13,19,5
2024-01-05 00:00:00+00:00,27,11,69,4
2024-01-06 00:00:00+00:00,20,9,4,3
2024-01-07 00:00:00+00:00,17,6,9,2
2024-01-08 00:00:00+00:00,18,9,2,2
2024-01-09 00:00:00+00:00,13,8,13,3
2024-01-10 00:00:00+00:00,9,5,0,0
2024-01-11 00:00:00+00:00,44,15,0,0
2024-01-12 00:00:00+00:00,40,8,3,3
2024-01-13 00:00:00+00:00,28,11,1,1
2024-01-14 00:00:00+00:00,13,4,1,1
2024-01-15 00:00:00+00:00,11,5,0,0
2024-01-16 00:00:00+00:00,16,8,2,2
2024-01-17 00:00:00+00:00,20,10,3,3
2024-01-18 00:00:00+00:00,14,6,0,0
2024-01-19 00:00:00+00:00,12,7,2,2
2024-01-20 00:00:00+00:00,4,3,4,2
2024-01-21 00:00:00+00:00,7,4,3,3
2024-01-22 00:00:00+00:00,18,8,7,4
2024-01-23 00:00:00+00:00,16,3,1,1
2024-01-24 00:00:00+00:00,6,2,8,3
2024-01-25 00:00:00+00:00,11,4,9,2
2024-01-26 00:00:00+00:00,12,4,17,3
2024-01-27 00:00:00+00:00,14,6,0,0
2024-01-28 00:00:00+00:00,7,3,8,3
2024-01-29 00:00:00+00:00,14,7,4,2
2024-01-30 00:00:00+00:00,10,6,2,1
2024-01-31 00:00:00+00:00,44,6,3,2
2024-02-01 00:00:00+00:00,7,4,2,2
2024-02-02 00:00:00+00:00,17,9,22,4
2024-02-03 00:00:00+00:00,5,4,1,1
2024-02-04 00:00:00+00:00,19,6,0,0
2024-02-05 00:00:00+00:00,32,8,3,1
2024-02-06 00:00:00+00:00,18,7,1,1
2024-02-07 00:00:00+00:00,23,10,2,2
2024-02-08 00:00:00+00:00,6,3,4,2
2024-02-09 00:00:00+00:00,6,3,8,3
2024-02-10 00:00:00+00:00,16,6,1,1
2024-02-11 00:00:00+00:00,10,4,0,0
2024-02-12 00:00:00+00:00,16,9,6,2
2024-02-13 00:00:00+00:00,25,9,4,3
2024-02-14 00:00:00+00:00,8,2,0,0
2024-02-15 00:00:00+00:00,5,3,2,1
2024-02-16 00:00:00+00:00,12,5,9,2
2024-02-17 00:00:00+00:00,18,7,7,2
2024-02-18 00:00:00+00:00,19,8,1,1
2024-02-19 00:00:00+00:00,17,6,0,0
2024-02-20 00:00:00+00:00,5,3,6,2
2024-02-21 00:00:00+00:00,22,11,3,1
2024-02-22 00:00:00+00:00,7,2,1,1
2024-02-23 00:00:00+00:00,19,9,2,2
2024-02-24 00:00:00+00:00,10,4,3,3
2024-02-25 00:00:00+00:00,12,3,6,2
2024-02-26 00:00:00+00:00,10,5,5,1
2024-02-27 00:00:00+00:00,16,8,2,1
2024-02-28 00:00:00+00:00,12,5,4,3
2024-02-29 00:00:00+00:00,8,3,6,3
2024-03-01 00:00:00+00:00,20,5,12,3
2024-03-02 00:00:00+00:00,19,7,13,3
2024-03-03 00:00:00+00:00,7,4,1,1
2024-03-04 00:00:00+00:00,14,6,10,5
2024-03-05 00:00:00+00:00,16,10,1,1
2024-03-06 00:00:00+00:00,14,9,0,0
2024-03-07 00:00:00+00:00,14,7,0,0
2024-03-08 00:00:00+00:00,14,6,5,1
2024-03-09 00:00:00+00:00,9,4,1,1
2024-03-10 00:00:00+00:00,26,9,7,2
2024-03-11 00:00:00+00:00,29,12,9,2
2024-03-12 00:00:00+00:00,24,12,1,1
2024-03-13 00:00:00+00:00,68,14,0,0
2024-03-14 00:00:00+00:00,42,12,4,3
2024-03-15 00:00:00+00:00,42,10,3,1
2024-03-16 00:00:00+00:00,10,4,2,1
2024-03-17 00:00:00+00:00,14,6,1,1
2024-03-18 00:00:00+00:00,12,5,8,4
2024-03-19 00:00:00+00:00,24,8,18,1
2024-03-20 00:00:00+00:00,16,5,7,3
2024-03-21 00:00:00+00:00,19,5,3,1
2024-03-22 00:00:00+00:00,5,3,5,1
2024-03-23 00:00:00+00:00,13,4,3,1
2024-03-24 00:00:00+00:00,8,4,1,1
2024-03-25 00:00:00+00:00,11,7,2,2
2024-03-26 00:00:00+00:00,9,5,4,1
2024-03-27 00:00:00+00:00,17,8,6,3
2024-03-28 00:00:00+00:00,28,9,7,2
2024-03-29 00:00:00+00:00,6,3,0,0
2024-03-30 00:00:00+00:00,14,5,0,0
2024-03-31 00:00:00+00:00,13,7,0,0
2024-04-01 00:00:00+00:00,9,4,9,1
2024-04-02 00:00:00+00:00,12,5,2,2
2024-04-03 00:00:00+00:00,26,3,0,0
2024-04-04 00:00:00+00:00,31,9,3,1
2024-04-05 00:00:00+00:00,24,9,4,1
2024-04-06 00:00:00+00:00,16,7,3,1
2024-04-07 00:00:00+00:00,31,7,0,0
2024-04-08 00:00:00+00:00,30,8,0,0
2024-04-09 00:00:00+00:00,12,6,3,1
2024-04-10 00:00:00+00:00,9,6,16,4
2024-04-11 00:00:00+00:00,14,8,2,2
2024-04-12 00:00:00+00:00,13,8,0,0
2024-04-13 00:00:00+00:00,5,3,8,2
2024-04-14 00:00:00+00:00,6,4,0,0
2024-04-15 00:00:00+00:00,30,11,3,2
2024-04-16 00:00:00+00:00,4,3,1,1
2024-04-17 00:00:00+00:00,16,6,8,4
2024-04-18 00:00:00+00:00,4,2,2,2
2024-04-19 00:00:00+00:00,18,8,6,2
2024-04-20 00:00:00+00:00,11,4,5,2
2024-04-21 00:00:00+00:00,7,3,12,4
2024-04-22 00:00:00+00:00,9,6,1,1
2024-04-23 00:00:00+00:00,9,7,9,2
2024-04-24 00:00:00+00:00,10,3,18,1
2024-04-25 00:00:00+00:00,3,1,1,1
2024-04-26 00:00:00+00:00,16,9,1,1
2024-04-27 00:00:00+00:00,13,5,10,2
2024-04-28 00:00:00+00:00,4,2,1,1
2024-04-29 00:00:00+00:00,18,9,7,3
