url_path,views_total,views_unique
/zdharma-continuum/zinit,1856,1059
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,60,23
/zdharma-continuum/zinit/issues,58,28
/zdharma-continuum/zinit/blob/main/zinit.zsh,45,11
/zdharma-continuum/zinit/tree/main/scripts,37,14
/zdharma-continuum/zinit/tree/main/doc,35,11
/zdharma-continuum/zinit/blob/main/README.md,21,9
/zdharma-continuum/zinit/blob/main/zinit-autoload.zsh,21,5
/zdharma-continuum/zinit/blob/main/scripts/install.sh,20,7
/zdharma-continuum/zinit/discussions,18,5
