time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-18 00:00:00+00:00,190,158,188,125
2024-09-19 00:00:00+00:00,164,136,290,151
2024-09-20 00:00:00+00:00,148,126,211,132
2024-09-21 00:00:00+00:00,138,113,180,99
2024-09-22 00:00:00+00:00,119,97,185,100
2024-09-23 00:00:00+00:00,158,125,238,133
2024-09-24 00:00:00+00:00,161,138,260,136
2024-09-25 00:00:00+00:00,153,134,217,139
2024-09-26 00:00:00+00:00,147,130,260,135
2024-09-27 00:00:00+00:00,172,152,300,109
2024-09-28 00:00:00+00:00,125,108,172,91
2024-09-29 00:00:00+00:00,135,114,208,92
2024-09-30 00:00:00+00:00,126,114,198,111
2024-10-01 00:00:00+00:00,105,92,175,96
